Date & Time,Vehicle Type,Card Name,Price
2026-01-29 16:41:45,Car,Platinum,9000
2026-01-29 16:41:55,Car,Gold,15000
2026-01-29 16:42:06,Car,Gold,21000
2026-01-29 16:42:24,Car,Black,21000
2026-01-29 16:42:37,Car,Black,15000
2026-01-29 16:42:50,Car,Black,21000
2026-01-29 16:43:05,Car,Platinum,21000
2026-01-29 16:43:20,Car,Platinum,6000
2026-01-29 16:43:39,Bus,Gold,9000
2026-01-29 16:43:52,Car,Platinum,9000
2026-01-29 16:44:08,Car,Black,9000
2026-01-29 16:44:20,Car,Gold,9000
2026-01-29 16:44:39,Car,Black,9000
2026-01-29 16:44:55,Car,Platinum,9000
