nama_lokasi,waktu,suhu_c,kode_cuaca,kecepatan_angin_kmh,arah_angin
President University,2026-01-27T22:00,28.7,3,5.9,189
President University,2026-01-27T23:00,30.3,80,3.1,326
President University,2026-01-28T00:00,24.5,3,2.9,279
President University,2026-01-28T01:00,31.4,3,6.0,194
President University,2026-01-29T04:00,30.5,3,6.0,45
President University,2026-01-29T05:00,28.0,3,2.1,236
President University,2026-01-29T06:00,26.2,80,4.6,351
President University,2026-01-29T07:00,24.0,3,8.3,81
President University,2026-01-29T08:00,25.5,63,3.2,220
President University,2026-01-29T09:00,27.2,3,4.7,181
President University,2026-02-01T09:00,24.3,80,4.7,193
President University,2026-02-01T10:00,27.8,3,8.5,65
President University,2026-02-01T11:00,27.8,3,3.6,78
President University,2026-02-01T15:00,28.6,80,7.3,323
President University,2026-02-02T02:00,28.3,3,9.7,199
Sentra Grosir Cikarang,2026-01-27T00:00,25.7,3,2.6,330
Sentra Grosir Cikarang,2026-01-27T14:00,24.5,63,6.2,78
Sentra Grosir Cikarang,2026-01-27T15:00,26.7,63,10.0,225
Sentra Grosir Cikarang,2026-01-27T16:00,28.0,63,9.5,180
Sentra Grosir Cikarang,2026-01-27T17:00,26.5,63,2.3,17
Sentra Grosir Cikarang,2026-01-27T18:00,29.9,3,7.7,350
Sentra Grosir Cikarang,2026-01-27T19:00,28.9,63,3.5,94
Sentra Grosir Cikarang,2026-01-27T20:00,28.0,3,7.0,87
Sentra Grosir Cikarang,2026-01-27T21:00,28.9,3,4.3,153
Sentra Grosir Cikarang,2026-01-27T22:00,30.8,3,5.3,292
Sentra Grosir Cikarang,2026-01-27T23:00,26.8,80,6.6,49
Sentra Grosir Cikarang,2026-01-28T00:00,31.9,3,3.0,1
Sentra Grosir Cikarang,2026-01-28T01:00,31.6,80,3.0,302
Sentra Grosir Cikarang,2026-01-29T04:00,24.5,3,6.2,81
Sentra Grosir Cikarang,2026-01-29T05:00,27.5,3,4.1,162
Sentra Grosir Cikarang,2026-01-29T06:00,27.1,63,4.7,272
Sentra Grosir Cikarang,2026-01-29T07:00,30.9,63,3.4,354
Sentra Grosir Cikarang,2026-01-29T08:00,31.2,3,3.3,345
Sentra Grosir Cikarang,2026-01-29T09:00,31.5,3,2.6,132
Sentra Grosir Cikarang,2026-02-01T09:00,29.5,3,6.0,24
Sentra Grosir Cikarang,2026-02-01T10:00,24.1,3,7.0,190
Sentra Grosir Cikarang,2026-02-01T11:00,28.3,63,5.7,44
Sentra Grosir Cikarang,2026-02-01T15:00,28.1,63,3.3,41
Sentra Grosir Cikarang,2026-02-02T02:00,30.7,80,6.6,218
Stasiun Cikarang,2026-01-27T00:00,31.3,80,3.2,272
Stasiun Cikarang,2026-01-27T14:00,26.8,63,8.3,44
Stasiun Cikarang,2026-01-27T15:00,26.9,63,3.9,234
Stasiun Cikarang,2026-01-27T16:00,27.2,3,7.8,257
Stasiun Cikarang,2026-01-27T17:00,25.8,63,4.5,249
Stasiun Cikarang,2026-01-27T18:00,26.9,63,4.7,229
Stasiun Cikarang,2026-01-27T19:00,30.6,63,4.3,10
Stasiun Cikarang,2026-01-27T20:00,29.3,63,10.0,211
Stasiun Cikarang,2026-01-27T21:00,30.1,63,5.8,286
Stasiun Cikarang,2026-01-27T22:00,27.7,3,3.3,211
Stasiun Cikarang,2026-01-27T23:00,24.8,80,3.7,133
Stasiun Cikarang,2026-01-28T00:00,27.5,80,7.4,211
Stasiun Cikarang,2026-01-28T01:00,29.4,3,3.1,74
Stasiun Cikarang,2026-01-29T04:00,26.2,80,2.5,294
Stasiun Cikarang,2026-01-29T05:00,25.3,3,4.7,323
Stasiun Cikarang,2026-01-29T06:00,25.4,63,5.6,18
Stasiun Cikarang,2026-01-29T07:00,25.8,63,8.4,297
Stasiun Cikarang,2026-01-29T08:00,27.5,63,4.2,330
Stasiun Cikarang,2026-01-29T09:00,28.1,63,8.3,195
Stasiun Cikarang,2026-02-01T09:00,30.8,3,4.2,293
Stasiun Cikarang,2026-02-01T10:00,24.2,63,7.8,329
Stasiun Cikarang,2026-02-01T11:00,25.1,63,8.4,161
Stasiun Cikarang,2026-02-01T15:00,28.6,3,8.4,287
Stasiun Cikarang,2026-02-02T02:00,29.7,3,6.7,96
Terminal Cikarang,2026-01-27T00:00,29.4,1,2.6,224
Terminal Cikarang,2026-01-27T14:00,31.8,3,4.0,353
Terminal Cikarang,2026-01-27T15:00,29.6,3,5.4,210
Terminal Cikarang,2026-01-27T16:00,24.1,3,9.3,244
Terminal Cikarang,2026-01-27T17:00,29.1,1,6.4,172
Terminal Cikarang,2026-01-27T18:00,26.3,1,2.6,127
Terminal Cikarang,2026-01-27T19:00,31.1,80,10.0,209
Terminal Cikarang,2026-01-27T20:00,26.0,1,7.4,31
Terminal Cikarang,2026-01-27T21:00,31.1,1,7.9,33
Terminal Cikarang,2026-01-27T22:00,28.8,1,4.0,166
Terminal Cikarang,2026-01-27T23:00,30.3,1,8.5,0
Terminal Cikarang,2026-01-28T00:00,29.6,1,6.0,272
Terminal Cikarang,2026-01-28T01:00,27.2,1,5.0,84
Terminal Cikarang,2026-01-29T04:00,26.9,1,4.3,35
Terminal Cikarang,2026-01-29T05:00,28.9,1,8.7,148
Terminal Cikarang,2026-01-29T06:00,31.9,1,6.2,80
Terminal Cikarang,2026-01-29T07:00,25.0,1,9.2,29
Terminal Cikarang,2026-01-29T08:00,27.9,3,8.9,48
Terminal Cikarang,2026-01-29T09:00,30.6,3,4.4,205
Terminal Cikarang,2026-02-01T09:00,24.4,1,9.0,146
Terminal Cikarang,2026-02-01T10:00,30.6,1,2.8,147
Terminal Cikarang,2026-02-01T11:00,26.5,1,5.7,105
Terminal Cikarang,2026-02-01T15:00,27.6,1,9.1,179
Terminal Cikarang,2026-02-02T02:00,27.7,1,7.0,11
